Airline,Fatalities
WestJet,0
Sunwing Airlines,0
Unknown,0
Unknown,1
Pineapple Air,0
Ameriflight,0
Pegasus Airlines,0
Bismillah Airlines,0
Kazakhstan Air Defence Force,0
Turkish AF,3
Air Tribe,0
"European Union, lsf AirTraffic Africa",0
Galeyr Airline,0
Nestoil,0
China Air Force,12
Saratov Airlines,71
Qeshm Air,0
 Iran Aseman Airlines,66
Dana Air,0
Island Express Air,0
Strait Air,0
SmartLynx Airlines Estonia,0
Unknown,0
 Serve Air,0
Russian AF,39
Basaran Holding,11
US-Bangla Airlines,52
Unknown,0
Ameriflight,0
"Air Canada Express, opb Jazz Aviation",0
Bald Mountain Air Services,0
HOP!,0
,0
,0
easyJet,0
Germania,0
El Al,0
Línea Aérea Amaszonas,0
Aeromar,0
Aeromar,0
Skydive the Ranch,0
Avis Industrial Corporation,0
Mega Aircompany,0
Korean Air,0
Algerian AF,257
"Hageland Aviation Services, opf Ravn Connect",0
